text,font_size,bold,page,x,y,is_upper,is_title_case,is_numbered,label
"Active Listening - Giving full attention to what other people are saying, taking time to understand the pointsbeing made, asking questions as appropriate, and not interrupting at inappropriate times.",9.0,True,2,70.86599731445312,108.29202270507812,False,False,False,body
Active Learning - Understanding the implications of new information for both current and future problem-solvingand decision-making.,9.0,True,2,70.86599731445312,144.81101989746094,False,False,False,body
"Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions,conclusions or approaches to problems.",9.0,True,2,70.86599731445312,181.3300323486328,False,False,False,body
Knowledge,12.0,False,2,267.95501708984375,219.39102172851562,False,True,False,H1
"Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation oftelecommunications systems.",9.0,True,2,70.86599731445312,251.7520294189453,False,False,False,body
"Communications and Media - Knowledge of media production, communication, and dissemination techniquesand methods. This includes alternative ways to inform and entertain via written, oral, and visual media.",9.0,True,2,70.86599731445312,288.2710266113281,False,False,False,body
"Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, andcomputer hardware and software, including applications and programming.",9.0,True,2,70.86599731445312,324.7900390625,False,False,False,body
"English Language - Knowledge of the structure and content of the English language including the meaning andspelling of words, rules of composition, and grammar.",9.0,True,2,70.86599731445312,361.30902099609375,False,False,False,body
"Engineering and Technology - Knowledge of the practical application of engineering science and technology.This includes applying principles, techniques, procedures, and equipment to the design and production of variousgoods and services.",9.0,True,2,70.86599731445312,397.8280334472656,False,False,False,body
"Education and Training - Knowledge of principles and methods for curriculum and training design, teaching andinstruction for individuals and groups, and the measurement of training effects.",9.0,True,2,70.86599731445312,446.3470153808594,False,False,False,H1
"Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",9.0,True,2,70.86599731445312,482.86602783203125,False,False,False,body
Education,12.0,False,2,270.95501708984375,508.9270324707031,False,True,False,H1
Job Zone Three: Medium Preparation Needed,9.0,True,2,70.86599731445312,541.3330078125,False,True,False,body
"Education:Most occupations in this zone require training in vocational schools, related on-the-job experience, oran associate's degree. Some may require a bachelor's degree.",9.0,True,2,70.86599731445312,562.2300415039062,False,False,False,H1
Training: Employees in these occupations usually need one or two years of training involving both on-the-jobexperience and informal training with experienced workers.,9.0,True,2,70.86599731445312,595.1720581054688,False,False,False,body
School Programs,12.0,False,2,251.6230010986328,633.2330322265625,False,True,False,H1
"Communications Technology/Technician. - A program that generally prepares individuals to function asworkers and managers within communications industries. Includes instruction in business economics; basicmanagement; principles of interpersonal and mediated communications; radio, television, and digital mediaproduction; and related aspects of technology and communications systems.",9.0,True,2,70.86599731445312,665.5940551757812,False,False,False,body
"Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to applytechnical knowledge and skills to the production of radio and television programs, and related operations, underthe supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction insound, lighting, and camera operation and maintenance; power and feed control; studio operations; productionpreparation; broadcast engineering; related computer applications; and specialized applications such as news,entertainment, live talk, sports, commercials, and taping.",9.0,True,2,70.86599731445312,726.113037109375,False,False,False,body
"Broadcast Technicians, page 3 of 3",9.0,False,3,383.333984375,41.754024505615234,False,False,False,body
"Audiovisual Communications Technologies/Technicians, Other. - Any instructional program in audiovisualcommunications technologies not listed above.",9.0,True,3,70.86599731445312,83.77302551269531,False,False,False,body
Wages,12.0,False,3,278.9649963378906,121.91503143310547,False,True,False,H1
In NY the average wage for this occupation was:,9.0,False,3,70.86599731445312,154.37303161621094,False,False,False,body
"$33,030 for entry level workers, and $65,350 for experienced workers.",9.0,False,3,70.86599731445312,175.37303161621094,False,False,False,body
Job Outlook,12.0,False,3,265.6210021972656,197.9150390625,False,True,False,H1
"Based on the total number of annual openings and its growth rate, the employment prospects for this occupationare described as Favorable.",9.0,False,3,70.86599731445312,230.37303161621094,False,False,False,body
"In 2006, employment for Broadcast Technicians in NY was: 3,630.",9.0,False,3,70.86599731445312,263.373046875,False,False,False,body
"It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30new positions annually (0.01%). In addition, 120 jobs per year (0.03%) will become available due to employeeturnover.",9.0,False,3,70.86599731445312,284.373046875,False,False,False,body
Similar Jobs,12.0,False,3,264.96697998046875,334.5150146484375,False,True,False,body
"Computer Support Specialists - Provide technical assistance to computer system users. Answer questions orresolve computer problems for clients in person, via telephone or from remote location. May provide assistanceconcerning the use of computer hardware and software, including printing, installation, word processing,electronic mail, and operating systems.",9.0,True,3,70.86599731445312,366.9730224609375,False,False,False,body
"Network Systems and Data Communications Analysts - Analyze, design, test, and evaluate network systems,such as local area networks (LAN), wide area networks (WAN), Internet, intranet, and other data communicationssystems. Perform network modeling, analysis, and planning. Research and recommend network and datacommunications hardware and software. Includes telecommunications specialists who deal with the interfacing ofcomputer and communications equipment. May supervise computer programmers.",9.0,True,3,70.86599731445312,427.5730285644531,False,False,False,body
Radio Operators - Receive and transmit communications using radiotelegraph or radiotelephone equipment inaccordance with government regulations. May repair equipment.,9.0,True,3,70.86599731445312,500.17303466796875,False,False,False,body
"Sound Engineering Technicians - Operate machines and equipment to record, synchronize, mix, or reproducemusic, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and videoproductions.",9.0,True,3,70.86599731445312,536.7730712890625,False,False,False,body
"Film and Video Editors - Edit motion picture soundtracks, film, and video.",9.0,True,3,70.86599731445312,585.373046875,False,False,False,body
"Telecommunications Equipment Installers and Repairers, Except Line Installers - Set-up, rearrange,or remove switching and dialing equipment used in central offices. Service or repair telephones and othercommunication equipment on customers' property. May install equipment in new locations or install wiring andtelephone jacks in buildings under construction.",9.0,True,3,70.86599731445312,609.9730834960938,False,False,False,body
"Electronic Home Entertainment Equipment Installers and Repairers - Repair, adjust, or install audio ortelevision receivers, stereo systems, camcorders, video systems, or other electronic home entertainmentequipment.",9.0,True,3,70.86599731445312,670.5730590820312,False,False,False,body
"Telecommunications Line Installers and Repairers - String and repair telephone and television cable,including fiber optics and other equipment for transmitting messages or television programming.",9.0,True,3,70.86599731445312,719.1730346679688,False,False,False,body
Nuclear Power Reactor Operators - Control nuclear reactors.,9.0,True,3,70.86599731445312,755.7730712890625,False,False,False,body
>>>>>>> e445125f3f063e3282945fa7c7c637c4f1f50377
